source,target,http_code,notes
/news/timtec-in-publications/research-lead-target-family-oriented-focused-libraries-for-kinases-conceptual-design-aspects.html,/news/timtec-in-publications/research-lead-target-family-oriented-focused-libraries-for-kinases-conceptual-design-aspects/,301,research-lead-target-family-oriented-focused-libraries-for-kinases-conceptual-design-aspects
/protease-inhibitors-actitarg-p-library/print.html,/protease-inhibitors-actitarg-p-library/print/,301,Untitled
/serine-proteinase-inhibitors-actitarg-s-library/print.html,/serine-proteinase-inhibitors-actitarg-s-library/print/,301,Untitled
/actitarg-i-potassium-channel-modulators/print.html,/actitarg-i-potassium-channel-modulators/print/,301,Untitled
/actitarg-n-nuclear-receptor-ligands/print.html,/actitarg-n-nuclear-receptor-ligands/print/,301,Untitled
/hdac-inhibitors-actitarg-h-library/print.html,/hdac-inhibitors-actitarg-h-library/print/,301,Untitled
/acticom-collection-of-active-compounds/print.html,/acticom-collection-of-active-compounds/print/,301,Untitled
/activity-aimed-sets/print.html,/activity-aimed-sets/print/,301,Untitled
/anti-inflammatory.html,/anti-inflammatory/,301,anti-inflammatory
/anti-inflammatory/print.html,/anti-inflammatory/print/,301,Untitled
/anti-infectives/print.html,/anti-infectives/print/,301,Untitled
/o-glcnac-transferase-inhibitors/print.html,/o-glcnac-transferase-inhibitors/print/,301,Untitled
/aryl-hydrocarbon-receptor-ahr-ligands-virtual-screen-results/print.html,/aryl-hydrocarbon-receptor-ahr-ligands-virtual-screen-results/print/,301,Untitled
/activators-of-neutrophils/print.html,/activators-of-neutrophils/print/,301,Untitled
/inhibitors-of-anthrax-lf/print.html,/inhibitors-of-anthrax-lf/print/,301,Untitled
/news/timtec-in-publications/potent-tumor-necrosis-factor-alpha-inducers/print.html,/news/timtec-in-publications/potent-tumor-necrosis-factor-alpha-inducers/print/,301,Untitled
/ag-205-pgrmc1-inhibitor/print.html,/ag-205-pgrmc1-inhibitor/print/,301,Untitled
/fpss-st50051351/print.html,/fpss-st50051351/print/,301,Untitled
/privileged-structures/print.html,/privileged-structures/print/,301,Untitled
/natural-products/print.html,/natural-products/print/,301,Untitled
/news/timtec-in-publications/timtec-in-natural-product-reports-article.html,/news/timtec-in-publications/timtec-in-natural-product-reports-article/,301,timtec-in-natural-product-reports-article
/gossypol-and-derivatives.html,/gossypol-and-derivatives/,301,gossypol-and-derivatives
/natural-products-in-publications.html,/natural-products-in-publications/,301,natural-products-in-publications
/fbl-fragment-based-library/print.html,/fbl-fragment-based-library/print/,301,Untitled
/template-based-compound-libraries/print.html,/template-based-compound-libraries/print/,301,Untitled
/diversity-compound-libraries/print.html,/diversity-compound-libraries/print/,301,Untitled
/actiprobe-series.html,/actiprobe-series/,301,actiprobe-series
/actiprobe-series/print.html,/actiprobe-series/print/,301,Untitled
